Name,Address,City,Zip,COUNTY,Notes,LONGLAT,USNG,OWNERSHIP,PARCELID,FACILITY_TYPE,TTL_BEDS,x,y
MARILUCA 1,8411 SW 21 STREET,MIAMI, ,MIAMI-DADE,9667,"-80.33202300,25.75027800",17R NJ 66991 48198,,,ASSISTED LIVING FACILITY,6,-8942519.894736247,2968184.534438705
FLAMINGO PARK MANOR,3051 EAST 4 AVENUE,HIALEAH, ,MIAMI-DADE,7308,"-80.27451100,25.85014200",17R NJ 72698 59288,,,ASSISTED LIVING FACILITY,72,-8936117.688206602,2980532.1958860103
OSMANI M ALF LLC,26423 SW 122ND PLACE,HOMESTEAD, ,MIAMI-DADE,12215,"-80.38972100,25.52150100",17R NJ 61321 22835,,,ASSISTED LIVING FACILITY,6,-8948942.80673271,2939936.4800035697
MARIA HOME CARE CORP,14615 SW 288 ST,HOMESTEAD, ,MIAMI-DADE,11054,"-80.42836499,25.49974437",17R NJ 57448 20408,,,ASSISTED LIVING FACILITY,6,-8953244.636575291,2937252.908981132
MABLEX HOME CARE,13391 SW 27 ST,MIAMI, ,MIAMI-DADE,10101,"-80.41200200,25.74250800",17R NJ 58973 47300,,,ASSISTED LIVING FACILITY,6,-8951423.116242515,2967224.2502920404
ARVIS SENIOR CARE CORPORATION,43 NW 136TH PLACE,MIAMI, ,MIAMI-DADE,12116,"-80.41635100,25.76784200",17R NJ 58525 50103,,,ASSISTED LIVING FACILITY,8,-8951907.244701918,2970355.477589626
PUPA ALF,7851 NW 197TH ST,MIAMI, ,MIAMI-DADE,11990,"-80.31886300,25.58391600",17R NJ 68405 29782,,,ASSISTED LIVING FACILITY,6,-8941054.930247378,2947637.7572602383
"MY HOME ALF, INC.",290 NW 188TH STREET,MIAMI, ,MIAMI-DADE,8570,"-80.20713000,25.94675300",17R NJ 79385 70027,,,ASSISTED LIVING FACILITY,6,-8928616.869611619,2992487.567627625
"CASA MARISA ALF, INC",7435 SW 23 ST,MIAMI, ,MIAMI-DADE,8366,"-80.31631100,25.74920800",17R NJ 68567 48088,,,ASSISTED LIVING FACILITY,6,-8940770.842934243,2968052.290845648
SAN MIGUEL HOME CARE,3931 WEST 8 AVENUE,HIALEAH, ,MIAMI-DADE,10426,"-80.29853100,25.85781100",17R NJ 70286 60125,,,ASSISTED LIVING FACILITY,6,-8938791.582415525,2981480.858219553
LEISURE CITY HOME CARE,14785 COOLIDGE LANE,HOMESTEAD, ,MIAMI-DADE,11541,"-80.43074190,25.49892284",17R NJ 57210 20316,,,ASSISTED LIVING FACILITY,6,-8953509.232167667,2937151.58722532
OUR DREAM RETIREMENT HOME,1630-1640 PALM AVENUE,HIALEAH, ,MIAMI-DADE,6037,"-80.28192000,25.83653600",17R NJ 71964 57777,,,ASSISTED LIVING FACILITY,42,-8936942.454324348,2978849.2725957385
A CARING PLACE ALF INC,13232 SW 85 STREET,MIAMI, ,MIAMI-DADE,10395,"-80.41125200,25.68850000",17R NJ 59075 41319,,,ASSISTED LIVING FACILITY,7,-8951339.626671484,2960551.2063046885
FAMILY HOME CARE INC. (THE),4221 WEST 5 LANE,HIALEAH, ,MIAMI-DADE,10394,"-80.29380100,25.86083100",17R NJ 70758 60462,,,ASSISTED LIVING FACILITY,6,-8938265.041106269,2981854.4519087933
"TWO SISTERS HOME CARE, INC.",11470 SW 80 TERRACE,MIAMI, ,MIAMI-DADE,11087,"-80.37947000,25.69284300",17R NJ 62262 41815,,,ASSISTED LIVING FACILITY,6,-8947801.670715101,2961087.700584001
COMPANION HOME CORP,1997 SW 17 COURT,MIAMI, ,MIAMI-DADE,7893,"-80.22358100,25.75283200",17R NJ 77865 48541,,,ASSISTED LIVING FACILITY,12,-8930448.186496923,2968500.193665689
RAFFA CORP II,15032 SW 55 TERRACE,MIAMI, ,MIAMI-DADE,10271,"-80.43766500,25.71422300",17R NJ 56413 44156,,,ASSISTED LIVING FACILITY,6,-8954279.908383608,2963729.0745562324
"GOOD LIFE ALF, INC",7746 NW 201 TERRACE,HIALEAH, ,MIAMI-DADE,11047,"-80.32789100,25.95647300",17R NJ 67288 71036,,,ASSISTED LIVING FACILITY,6,-8942059.92259015,2993690.936121591
MIMI'S ALF #II,10790 SW 43 TERRACE,MIAMI, ,MIAMI-DADE,7838,"-80.36993100,25.72726300",17R NJ 63201 45631,,,ASSISTED LIVING FACILITY,6,-8946739.794016706,2965340.3232541336
EDELMIRA ALF II INC,12030 SW 171 TERRACE,MIAMI, ,MIAMI-DADE,11890,"-80.38834100,25.60896300",17R NJ 61415 32521,,,ASSISTED LIVING FACILITY,7,-8948789.185848339,2950729.3913821597
"OUR LOVING MOTHER ELDERLY CARE, INC.",1635 WEST 65 STREET,HIALEAH, ,MIAMI-DADE,8128,"-80.31625200,25.88249800",17R NJ 68496 62849,,,ASSISTED LIVING FACILITY,6,-8940764.275056448,2984535.080883484
MAGNET ADULT HOME,1431 NW 55TH TERRACE,MIAMI, ,MIAMI-DADE,11354,"-80.22123200,25.82607800",17R NJ 78053 56654,,,ASSISTED LIVING FACILITY,8,-8930186.697111638,2977555.8561659623
"POINTE OF NORTH GABLES, THE",5890 SW 8 STREET,MIAMI, ,MIAMI-DADE,5725,"-80.29176000,25.76341300",17R NJ 71021 49674,,,ASSISTED LIVING FACILITY,92,-8938037.838108687,2969808.0146447727
ISA ADULT HOME CARE,4363 S.W. 146 AVENUE,MIAMI, ,MIAMI-DADE,9623,"-80.43029100,25.72731200",17R NJ 57146 45609,,,ASSISTED LIVING FACILITY,6,-8953459.038553178,2965346.378156986
CARING FOR YOU III ALF,7080 SW 14 STREET,MIAMI, ,MIAMI-DADE,10488,"-80.30950100,25.75707300",17R NJ 69246 48962,,,ASSISTED LIVING FACILITY,8,-8940012.757129194,2969024.370968684
EL DORAL ASSISTED LIVING FACILITY INC,9795 NW 27 TERRACE,MIAMI, ,MIAMI-DADE,11022,"-80.35494200,25.79954800",17R NJ 64665 53643,,,ASSISTED LIVING FACILITY,6,-8945071.226140011,2974275.2120105634
ASSISTED LIVING RETIREMENT HOMES II,2787-2789 S.W 33 AVENUE,MIAMI, ,MIAMI-DADE,8520,"-80.24761050,25.73943741",17R NJ 75464 47043,,,ASSISTED LIVING FACILITY,14,-8933123.137749245,2966844.7780237845
HOGAR DE ABUELOS,3240 NW 18TH STREET,MIAMI, ,MIAMI-DADE,11358,"-80.24879100,25.79104300",17R NJ 75313 52758,,,ASSISTED LIVING FACILITY,6,-8933254.550877322,2973223.657141718
"CASA LLANES II ALF, INC",374 EAST 50TH STREET,HIALEAH, ,MIAMI-DADE,10521,"-80.27528100,25.86805300",17R NJ 72610 61272,,,ASSISTED LIVING FACILITY,7,-8936203.404193848,2982747.8990967115
"LOVE & PEACE ALF, LLC",520 NW 49 STREET,MIAMI, ,MIAMI-DADE,11881,"-80.20425100,25.82055300",17R NJ 79758 56052,,,ASSISTED LIVING FACILITY,6,-8928296.380709771,2976872.585648462
RAINBOW HOME CARE,3302 NW 2 AVENUE,MIAMI, ,MIAMI-DADE,8623,"-80.19934200,25.80748900",17R NJ 80259 54608,,,ASSISTED LIVING FACILITY,14,-8927749.913399825,2975257.102396742
VILLA ROSE ASSISTED LIVING INC,4231 SW 58TH AVE,MIAMI, ,MIAMI-DADE,11986,"-80.28842100,25.73197100",17R NJ 71375 46194,,,ASSISTED LIVING FACILITY,7,-8937666.142318176,2965922.0966802984
MAJULY'S ADULT CARE,12730 NW 6 LANE,MIAMI, ,MIAMI-DADE,9989,"-80.40183100,25.77379300",17R NJ 59978 50769,,,ASSISTED LIVING FACILITY,6,-8950290.885783887,2971091.105198217
MP DIVERSIFIED SERVICES CORP,311 SW 71 AVENUE,MIAMI, ,MIAMI-DADE,11641,"-80.31041100,25.76709200",17R NJ 69149 50072,,,ASSISTED LIVING FACILITY,6,-8940114.057936074,2970262.7697005663
GOLDEN YEARS CHRISTIAN HOME (THE),415 EAST 39 STREET,HIALEAH, ,MIAMI-DADE,9854,"-80.27405300,25.85794900",17R NJ 72739 60153,,,ASSISTED LIVING FACILITY,6,-8936066.703865325,2981497.9295691466
GONZALEZ & SONS HOME CARE INC II,4290 SW 4 STREET,MIAMI, ,MIAMI-DADE,11241,"-80.26533000,25.76796300",17R NJ 73669 50192,,,ASSISTED LIVING FACILITY,6,-8935095.663910152,2970370.4345620456
SUPERIOR ALF II,14750 SW 284 ST.,HOMESTEAD,33033,MIAMI-DADE,,"-80.43013120,25.50293675",17R NJ 57269 20761,,,ASSISTED LIVING FACILITY,,-8953441.249194607,2937646.643493122
"ABUELITAS HOME, INC",15257 SW 61ST ST,MIAMI, ,MIAMI-DADE,10139,"-80.44097897,25.71007871",17R NJ 56082 43696,,,ASSISTED LIVING FACILITY,7,-8954648.81733619,2963217.0351382713
Lourdes ALF Inc.,14825 SW 82 St,Miami,33193,MIAMI-DADE, ,"-80.43284904,25.69084170",17R NJ 56907 41569,,,ASSISTED LIVING FACILITY,6,-8953743.79838685,2960840.4760417086
BLANCA AZUZENA HOME CARE INC,12414 SW 252 TERRACE,HOMESTEAD, ,MIAMI-DADE,11490,"-80.39281100,25.53262400",17R NJ 61005 24065,,,ASSISTED LIVING FACILITY,8,-8949286.78391723,2941308.633818567
DADE COUNTY ADULT LIVING FACILITY GROUP,15135 SW 128 COURT,MIAMI, ,MIAMI-DADE,11497,"-80.39870100,25.62760100",17R NJ 60365 34581,,,ASSISTED LIVING FACILITY,6,-8949942.455740815,2953030.3618309572
LEON HEALTH SERVICES INC,1675 SW 25 AVENUE,MIAMI, ,MIAMI-DADE,11776,"-80.23642100,25.75655200",17R NJ 76575 48945,,,ASSISTED LIVING FACILITY,11,-8931877.528795706,2968959.9756655456
ST MARK'S VILLA,3381 NW 194 TERRACE,MIAMI, ,MIAMI-DADE,8093,"-80.21609100,25.95262400",17R NJ 78484 70672,,,ASSISTED LIVING FACILITY,6,-8929614.403525148,2993214.405159598
HETERY HOME FOR THE ELDERLY INC,825 SE 7TH AVENUE,HIALEAH,33010,MIAMI-DADE,7612,"-80.26685100,25.81553200",17R NJ 73487 55460,,,ASSISTED LIVING FACILITY,16,-8935264.980848083,2976251.6720274575
"ALL USA HOMES, INC",4214 SW 3rd STREET,MIAMI, ,MIAMI-DADE,11431,"-80.26404000,25.76872300",17R NJ 73798 50277,,,ASSISTED LIVING FACILITY,7,-8934952.061841087,2970464.3793463977
RESIDENCIA MARBELLA ALF CORP.,19807 NW 86 COURT,MIAMI, ,MIAMI-DADE,11698,"-80.33560700,25.76997400",17R NJ 66620 50378,,,ASSISTED LIVING FACILITY,6,-8942918.86386185,2970619.0186353074
PROFESSIONAL HOME CARE I,435 EAST 31 STREET,HIALEAH, ,MIAMI-DADE,6507,"-80.27373300,25.85055800",17R NJ 72776 59335,,,ASSISTED LIVING FACILITY,25,-8936031.081580983,2980583.653922538
MARIA'S SWEET HOME,5991 WEST 20 LANE,HIALEAH, ,MIAMI-DADE,10539,"-80.32471100,25.87687200",17R NJ 67652 62222,,,ASSISTED LIVING FACILITY,6,-8941705.926580822,2983838.988029246
AMOR DE DIOS,718 NW 132 PLACE,MIAMI, ,MIAMI-DADE,10069,"-80.41026200,25.77449900",17R NJ 59132 50843,,,ASSISTED LIVING FACILITY,6,-8951229.420460664,2971178.379175825
"PETSHIRL GROUP HOME, INC.",8361 NE 3 AVE,MIAMI, ,MIAMI-DADE,11895,"-80.19119100,25.85266200",17R NJ 81046 59616,,,ASSISTED LIVING FACILITY,6,-8926842.548243318,2980843.9153995854
SEVEN ELDERLY CARE INC,6132 WEST 14 LANE,HIALEAH, ,MIAMI-DADE,9327,"-80.31298200,25.87872000",17R NJ 68826 62433,,,ASSISTED LIVING FACILITY,6,-8940400.26032088,2984067.6334579964
RODRIGUEZ ALF #1,2751 NW 209 TERRACE,MIAMI GARDENS, ,MIAMI-DADE,11239,"-80.24795200,25.96680800",17R NJ 75285 72224,,,ASSISTED LIVING FACILITY,5,-8933161.153824866,2994970.552541474
A LOVING PLACE II INC,14871 SW 70 STREET,MIAMI,33193,MIAMI-DADE,9342,"-80.43420500,25.70116800",17R NJ 56766 42712,,,ASSISTED LIVING FACILITY,6,-8953894.743002322,2962116.1492204648
PALACE GARDENS NORTH,1351 NORTH KROME AVENUE,HOMESTEAD, ,MIAMI-DADE,5819,"-80.47662969,25.48315356",17R NJ 52605 18551,,,ASSISTED LIVING FACILITY,200,-8958617.43818436,2935206.8436824274
"SANTO TOMAS AQUINO ALF, INC",4150 SW 108 AVENUE,MIAMI, ,MIAMI-DADE,11234,"-80.36998200,25.72954900",17R NJ 63195 45884,,,ASSISTED LIVING FACILITY,6,-8946745.47128294,2965622.8042599116
HERMANA'S FAMILY HOME,6524 SW 162 PATH,MIAMI, ,MIAMI-DADE,10819,"-80.45649200,25.70491000",17R NJ 54528 43117,,,ASSISTED LIVING FACILITY,6,-8956375.720438134,2962578.449463065
"JOZ-BRICK LUXURY VILLAS, CORP",11901 NW 4 STREET,MIAMI,33182,MIAMI-DADE,11378,"-80.38933200,25.77219800",17R NJ 61232 50598,,,ASSISTED LIVING FACILITY,6,-8948899.503435243,2970893.9370790357
MY FAMILY HOME,662 WEST 50 STREET,HIALEAH,33012,MIAMI-DADE,9078,"-80.29632100,25.86760300",17R NJ 70502 61210,,,ASSISTED LIVING FACILITY,7,-8938545.566243213,2982692.227110728
"ALPHA & OMEGA RESIDENTIAL, INC",410- 418 & 426 EAST 24 STREET,HIALEAH, ,MIAMI-DADE,9526,"-80.28149000,25.82674300",17R NJ 72013 56693,,,ASSISTED LIVING FACILITY,48,-8936894.586921807,2977638.098181916
LIFE ENHANCEMENT,12325 SW 42ND ST,MIAMI,33175,MIAMI-DADE,7894,"-80.39391804,25.73012658",17R NJ 60793 45937,,,ASSISTED LIVING FACILITY,6,-8949410.019574987,2965694.176798538
PROFESSIONAL HOME CARE II,447 EAST 31 STREET,HIALEAH, ,MIAMI-DADE,91,"-80.27350200,25.85056800",17R NJ 72799 59336,,,ASSISTED LIVING FACILITY,15,-8936005.366827624,2980584.8908001566
FOTINE'S SENIOR HOME,5937 SW 41 STREET,MIAMI, ,MIAMI-DADE,8278,"-80.29131200,25.73310800",17R NJ 71084 46318,,,ASSISTED LIVING FACILITY,6,-8937987.966950014,2966062.600596542
BETTER LIFE ALF,5750 NW 192 STREET,MIAMI, ,MIAMI-DADE,8874,"-80.22729100,25.94961300",17R NJ 77365 70332,,,ASSISTED LIVING FACILITY,6,-8930861.181890683,2992841.63484725
SAN RAFAEL HOME HEALTH INC,13373 SW 283 RD STREET,HOMESTEAD, ,MIAMI-DADE,11080,"-80.40770100,25.50449800",17R NJ 59523 20944,,,ASSISTED LIVING FACILITY,6,-8950944.331219472,2937839.204249788
NICOLE'S FAMILY HOME ALF LLC,3700 SW 147 PLACE,MIAMI, ,MIAMI-DADE,10128,"-80.43357300,25.73276100",17R NJ 56814 46211,,,ASSISTED LIVING FACILITY,6,-8953824.3889931,2966019.720181647
KATIA'S LOVING HOME INC.,5130 SW 96 AVENUE,MIAMI, ,MIAMI-DADE,10462,"-80.35034200,25.72041800",17R NJ 65170 44882,,,ASSISTED LIVING FACILITY,6,-8944559.156476649,2964494.5191752673
"HOME FOR ALL THE ANGELS, CORP",9270 S.W. 42 TERRACE,MIAMI, ,MIAMI-DADE,9648,"-80.34543100,25.72928400",17R NJ 65658 45867,,,ASSISTED LIVING FACILITY,6,-8944012.466472607,2965590.0578562687
MARGARITA'S ELDERLY CARE III,825 NW 18 PLACE,MIAMI, ,MIAMI-DADE,10627,"-80.22584100,25.78113100",17R NJ 77620 51673,,,ASSISTED LIVING FACILITY,6,-8930699.768523341,2971998.236312625
ISABEL ADULT CARE,10701 SW 66 TERRACE,MIAMI, ,MIAMI-DADE,8988,"-80.36669200,25.70578900",17R NJ 63537 43254,,,ASSISTED LIVING FACILITY,6,-8946379.230223032,2962687.04646322
DAYLIENS LIVING FACILITY,2920 SW 12 STREET,MIAMI, ,MIAMI-DADE,9140,"-80.24121100,25.76136300",17R NJ 76091 49475,,,ASSISTED LIVING FACILITY,6,-8932410.749138676,2969554.623689377
"HAINAT, INC",2435 SW 82 AVENUE,MIAMI, ,MIAMI-DADE,9679,"-80.32760100,25.74698100",17R NJ 67436 47835,,,ASSISTED LIVING FACILITY,6,-8942027.639970815,2967777.054837342
SUPEROIOR LIVING OF HIALEAH ,70 EAST 21ST STREET,HIALEAH,33010,MIAMI-DADE,7170,"-80.28056000,25.84088300",17R NJ 72097 58260,,,ASSISTED LIVING FACILITY,76,-8936791.059797287,2979386.9310705597
"MY NEW HOME ALF, INC",7151 SW 42ND STREET,MIAMI, ,MIAMI-DADE,11164,"-80.30992300,25.73171900",17R NJ 69218 46154,,,ASSISTED LIVING FACILITY,6,-8940059.734017914,2965890.9561947947
V & R HOME CARE,14918 SW 10TH STREET,MIAMI, ,MIAMI-DADE,10953,"-80.43716000,25.75738400",17R NJ 56443 48936,,,ASSISTED LIVING FACILITY,6,-8954223.692017226,2969062.810554963
ANA'S ELDERLY CARE INC,3720 SW 132 AVENUE,MIAMI, ,MIAMI-DADE,11873,"-80.40795200,25.73336000",17R NJ 59384 46288,,,ASSISTED LIVING FACILITY,6,-8950972.27238648,2966093.7414593673
MI SEVILLA HOME CARE CORP,8331 SW 27 ST,MIAMI, ,MIAMI-DADE,10660,"-80.33053800,25.74539700",17R NJ 67142 47659,,,ASSISTED LIVING FACILITY,6,-8942354.585308528,2967581.2906872984
CALVINELLE ADULT HOMES SOUTH ALF ,1750 NW 41 STREET,MIAMI, ,MIAMI-DADE,12229,"-80.22508000,25.81324400",17R NJ 77675 55230,,,ASSISTED LIVING FACILITY,10,-8930615.054408865,2975968.738960683
IVES DAIRY SENIOR CARE,19840 NE 10TH COURT,MIAMI, ,MIAMI-DADE,11259,"-80.18133200,25.95857800",17R NJ 81960 71352,,,ASSISTED LIVING FACILITY,6,-8925745.049430365,2993951.5551989875
Yuli's Home Care,14580 SW 173 Street,Miami,33177,MIAMI-DADE, ,"-80.42829125,25.60608669",17R NJ 57405 32185,,,ASSISTED LIVING FACILITY,6,-8953236.427292673,2950374.326328606
SOL ASSISTED LIVING FACILITY INC,2400 SW 137TH CT,MIAMI, ,MIAMI-DADE,10061,"-80.41734200,25.74511000",17R NJ 58436 47585,,,ASSISTED LIVING FACILITY,6,-8952017.562454948,2967545.8211187925
DREAMS OF AMERICA HOME CARE INC,1162 WEST 30TH STREET,HIALEAH, ,MIAMI-DADE,8845,"-80.30554100,25.84886300",17R NJ 69589 59130,,,ASSISTED LIVING FACILITY,6,-8939571.931982303,2980373.9884337853
TROPICAL ALF (THE),8495 SW40 TERRACE,MIAMI, ,MIAMI-DADE,12024,"-80.33352666,25.73255909",17R NJ 66850 46235,,,ASSISTED LIVING FACILITY,8,-8942687.281107413,2965994.7695675273
"OUR LADY OF LOURDES ALF, INC.",14491 SW 153 TERRACE,MIAMI, ,MIAMI-DADE,10517,"-80.42747300,25.62469800",17R NJ 57478 34246,,,ASSISTED LIVING FACILITY,6,-8953145.340118457,2952671.945898825
OUR FAMILY ASSISTED LIVING FACILITY II I,1813 SW 150TH PL,MIAMI, ,MIAMI-DADE,12214,"-80.43904100,25.74973200",17R NJ 56258 48088,,,ASSISTED LIVING FACILITY,6,-8954433.084009085,2968117.052953516
ROSARIO RETIREMENT SENIOR HOME,836 SW 4 AVENUE,MIAMI, ,MIAMI-DADE,9633,"-80.20078300,25.76598400",17R NJ 80143 50011,,,ASSISTED LIVING FACILITY,8,-8927910.324758956,2970125.8100946345
MOM EXCELLENT CARE INC,7800 NW 179TH ST,HIALEAH,33015,MIAMI-DADE,12077,"-80.32746300,25.93620400",17R NJ 67343 68791,,,ASSISTED LIVING FACILITY,6,-8942012.277849413,2991181.678702045
"ADULT CARE OF MIAMI, INC",9833 SW 27 TERRACE,MIAMI, ,MIAMI-DADE,10247,"-80.35433300,25.74424800",17R NJ 64756 47519,,,ASSISTED LIVING FACILITY,6,-8945003.432541057,2967439.289214164
"BERTHA ELDERLY CARE, INC",9760 MEMORIAL ROAD,CUTLER RIDGE, ,MIAMI-DADE,10852,"-80.34910233,25.58441182",17R NJ 65368 29821,,,ASSISTED LIVING FACILITY,7,-8944421.156677615,2947698.9510576585
GONZALEZ & SON'S HOME CARE INC.,4045 SW 9TH TERRACE,MIAMI, ,MIAMI-DADE,10017,"-80.26214200,25.76299800",17R NJ 73991 49644,,,ASSISTED LIVING FACILITY,6,-8934740.777413094,2969756.7181390524
"ROSEWOOD LAKES,INC",14512 ROSEWOOD ROAD,HIALEAH, ,MIAMI-DADE,11146,"-80.31579200,25.90712000",17R NJ 68528 65576,,,ASSISTED LIVING FACILITY,6,-8940713.068160178,2987581.89788613
EBENEZER FAMILY HOME II,1024 SW 11TH STREET,MIAMI, ,MIAMI-DADE,12048,"-80.21187200,25.76296300",17R NJ 79033 49670,,,ASSISTED LIVING FACILITY,6,-8929144.746636104,2969752.3918669587
MARIVAN ALF INC,8943 NW 147 TERRACE,MIAMI LAKES, ,MIAMI-DADE,10971,"-80.34559200,25.90713900",17R NJ 65543 65563,,,ASSISTED LIVING FACILITY,6,-8944030.388969371,2987584.2492760215
JOSE YOANDRY ALF,2916 NW 31ST STREET,MIAMI, ,MIAMI-DADE,11443,"-80.24275100,25.80434300",17R NJ 75910 54234,,,ASSISTED LIVING FACILITY,6,-8932582.181136211,2974868.097319782
SANTA FLORA ALF,19005 SW 320 STREET,HOMESTEAD, ,MIAMI-DADE,11155,"-80.49985200,25.46970800",17R NJ 50276 17053,,,ASSISTED LIVING FACILITY,6,-8961202.533606693,2933548.8733960823
CENTURY ALF II INC,12710 SW 112 STREET,MIAMI, ,MIAMI-DADE,10913,"-80.40043000,25.66401400",17R NJ 60173 38612,,,ASSISTED LIVING FACILITY,8,-8950134.927209234,2957526.796827996
1ZOURCE LIVING CARE,1401 NE 176 STREET,MIAMI, ,MIAMI-DADE,10183,"-80.17226200,25.93756900",17R NJ 82883 69031,,,ASSISTED LIVING FACILITY,6,-8924735.381627414,2991350.6491433503
CAMINO DE ESPERANZA INC,5903 SW 147TH PLACE,MIAMI, ,MIAMI-DADE,10003,"-80.43221100,25.71077100",17R NJ 56962 43776,,,ASSISTED LIVING FACILITY,7,-8953672.771881884,2963302.5680240416
DE' BLANCA HOME,11901 S.W. 25TH TERRACE,MIAMI, ,MIAMI-DADE,9602,"-80.38820300,25.74476800",17R NJ 61359 47561,,,ASSISTED LIVING FACILITY,6,-8948773.8237532,2967503.5542395366
AMISTADA 308 LLC,8420 SW 2ND STREET,MIAMI, ,MIAMI-DADE,11183,"-80.33288100,25.76776300",17R NJ 66895 50134,,,ASSISTED LIVING FACILITY,6,-8942615.406809727,2970345.7123327656
CORDERO RESIDENCE INC,4510 SW 106 AVENUE,MIAMI, ,MIAMI-DADE,10430,"-80.36641900,25.72576300",17R NJ 63554 45466,,,ASSISTED LIVING FACILITY,6,-8946348.839992927,2965154.971225844
CASANOVA ALF #2,5750 NW 118 STREET,HIALEAH, ,MIAMI-DADE,9758,"-80.29295100,25.88046300",17R NJ 70832 62636,,,ASSISTED LIVING FACILITY,6,-8938170.419603813,2984283.2909039673
VI AT AVENTURA,19333 WEST COUNTRY CLUB DRIVE,AVENTURA, ,MIAMI-DADE,10382,"-80.13856100,25.95446600",17R NJ 86246 70925,,,ASSISTED LIVING FACILITY,26,-8920983.80342962,2993442.4546700073
DEERWOOD MANOR,12853 SW 147 STREET,MIAMI, ,MIAMI-DADE,9385,"-80.40062500,25.63076300",17R NJ 60171 34930,,,ASSISTED LIVING FACILITY,6,-8950156.634484531,2953420.7649877663
"ANGELS IN PARADISE, INC.",4636 WEST 6TH AVENUE,HIALEAH, ,MIAMI-DADE,10296,"-80.29474200,25.86397900",17R NJ 70662 60810,,,ASSISTED LIVING FACILITY,6,-8938369.792790867,2982243.8902266724
COMMUNITY ALF SERVICES INC,1250 NW 126 STREET,MIAMI, ,MIAMI-DADE,12150,"-80.22012100,25.88969300",17R NJ 78122 63700,,,ASSISTED LIVING FACILITY,7,-8930063.021131381,2985425.3509399644
CHALET AT OLD CUTLER (THE) LLC,7210 SW 148TH TERRACE,MIAMI, ,MIAMI-DADE,11539,"-80.31020600,25.63295400",17R NJ 69247 35217,,,ASSISTED LIVING FACILITY,6,-8940091.237389421,2953691.287521974
GREENVIEW,1701 S.W. 87 COURT,MIAMI, ,MIAMI-DADE,8512,"-80.33664100,25.75401100",17R NJ 66526 48609,,,ASSISTED LIVING FACILITY,6,-8943033.968198357,2968645.913271891
"DARLA HOME CARE, CORP.",3167 WEST 77 PLACE,HIALEAH, ,MIAMI-DADE,10329,"-80.34738200,25.89275800",17R NJ 65372 63970,,,ASSISTED LIVING FACILITY,8,-8944229.650787152,2985804.61388129
ANTONIA'S RESIDENCE,840 S.E. 8TH COURT,HIALEAH, ,MIAMI-DADE,7643,"-80.26383200,25.81475000",17R NJ 73790 55375,,,ASSISTED LIVING FACILITY,8,-8934928.907349972,2976154.9696365395
SUNNY HOME CARE INC.,9099 NW 113 STREET,HIALEAH GARDENS, ,MIAMI-DADE,10335,"-80.34556200,25.87638800",17R NJ 65563 62158,,,ASSISTED LIVING FACILITY,6,-8944027.049295893,2983779.105349009
"SWANKRIDGE, INC.",122 NW 7 STREET,HOMESTEAD, ,MIAMI-DADE,5184,"-80.48011884,25.47596609",17R NJ 52257 17754,,,ASSISTED LIVING FACILITY,12,-8959005.848056141,2934320.533962466
NEW HORIZON HOME FOR THE ELDERLY INC,4781 SW 2ND TERRANCE,MIAMI,33134,MIAMI-DADE,11946,"-80.27335200,25.76919800",17R NJ 72863 50325,,,ASSISTED LIVING FACILITY,8,-8935988.668925662,2970523.0951106744
MIAMI COMFORT COVE INC,3511 NW 11 COURT,MIAMI, ,MIAMI-DADE,11869,"-80.21414100,25.80929200",17R NJ 78775 54799,,,ASSISTED LIVING FACILITY,14,-8929397.330530701,2975480.049335555
SRA CARIDAD RETIREMENT HOME CARE INC,10840 NW 1ST LANE,MIAMI, ,MIAMI-DADE,11385,"-80.37168100,25.76989300",17R NJ 63003 50351,,,ASSISTED LIVING FACILITY,6,-8946934.603105048,2970609.0059965397
SWEET HOPE ASSISTED LIVING CORP,13551 SW 208TH STREET,MIAMI, ,MIAMI-DADE,11476,"-80.41218200,25.57339800",17R NJ 59038 28572,,,ASSISTED LIVING FACILITY,6,-8951443.153785255,2946339.6785307648
GOLDEN YEARS FOR THE ELDERLY CORP,13184 S.W. 19 TERRACE,MIAMI, ,MIAMI-DADE,9923,"-80.40983100,25.74978300",17R NJ 59187 48106,,,ASSISTED LIVING FACILITY,6,-8951181.441714799,2968123.3561147973
"TRANQUIL RETREAT, INC.",7224 WEST 29 WAY,HIALEAH,33018,MIAMI-DADE,10319,"-80.34259100,25.88825900",17R NJ 65854 63474,,,ASSISTED LIVING FACILITY,7,-8943696.319169614,2985247.9112133416
ALMAR ALF INC,2120 NW 18 TERRACE,MIAMI, ,MIAMI-DADE,12128,"-80.22992000,25.79246300",17R NJ 77204 52926,,,ASSISTED LIVING FACILITY,8,-8931153.840742206,2973399.2200967977
MIRAMAR SENIOR LIVING,14833 SW 24 STREET,MIAMI, ,MIAMI-DADE,10593,"-80.43504200,25.74480800",17R NJ 56661 47544,,,ASSISTED LIVING FACILITY,6,-8953987.917354714,2967508.497724848
BABY BOOMERS ADULT CARE FACILITY,6478 SW 72 STREET,MIAMI, ,MIAMI-DADE,8542,"-80.29874000,25.70380300",17R NJ 70356 43069,,,ASSISTED LIVING FACILITY,6,-8938814.848136134,2962441.6851862557
